OWNER,CONSTRAINT_NAME,CONSTRAINT_TYPE,TABLE_NAME,STATUS,VALIDATED,DEFERRABLE,DEFERRED,R_OWNER,R_CONSTRAINT_NAME,DELETE_RULE,BAD,INVALID,GENERATED,SEARCH_CONDITION_VC
SYSTEM,SYS_C001750,C,LOGMNRC_DBNAME_UID_MAP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""LOGMNR_MDH"" IS NOT NULL"
SYSTEM,LOGMNR_CDEF$_PK,P,LOGMNR_CDEF$,DISABLED,NOT VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C003285,C,LOGMNR_CDEF$,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""OBJ#"" IS NOT NULL"
SYSTEM,LOGMNRC_GSBA_PK,P,LOGMNRC_GSBA,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C003234,C,LOGMNRC_GSBA,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""LOGMNR_UID"" IS NOT NULL"
SYSTEM,SYS_C003235,C,LOGMNRC_GSBA,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""AS_OF_SCN"" IS NOT NULL"
SYSTEM,LOGMNRC_GSII_PK,P,LOGMNRC_GSII,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C003229,C,LOGMNRC_GSII,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""LOGMNR_UID"" IS NOT NULL"
SYSTEM,SYS_C003230,C,LOGMNRC_GSII,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""OBJ#"" IS NOT NULL"
SYSTEM,SYS_C003231,C,LOGMNRC_GSII,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""BO#"" IS NOT NULL"
